,pred,actual
75,-5.842783774830456,False
76,-5.393537095426144,False
77,-2.8386151212591932,False
78,-4.75804572506321,False
79,-5.960361254775976,False
80,-5.466494777593112,False
81,-2.1580863467677522,False
82,-3.567583153433116,False
83,-4.163291889448029,False
84,-2.4425073671215296,False
85,-5.786226848879529,False
86,-2.5124268634855973,False
87,-1.885791688956087,False
88,-2.4173886113317344,False
89,-2.3874571896842847,False
90,-2.481424648272948,False
91,-1.691508324115186,False
92,-4.705721464767586,False
93,-2.943686015332151,False
94,-3.099468620047192,False
95,-4.414078837409453,False
96,-5.0460591748870325,False
97,-4.951339815182211,False
98,-2.980150843474159,False
99,-3.0461884785318314,False
100,-4.686511346936846,False
101,-3.8485195010255717,False
102,-3.1287078495333884,False
103,-3.927065006090835,False
104,-3.2277400215430134,False
105,-4.750633737001473,False
106,-3.7056106540073603,False
107,-2.836881868373129,False
108,-6.152022830306781,False
109,-4.24372574475674,False
110,-5.139361915676652,False
111,-2.8121765966735537,False
112,-2.949105327651391,False
113,-4.996104830284654,False
114,-3.8039130844024056,False
115,-2.0953423814638006,False
116,-2.397290535276472,False
117,-5.175375455008702,False
118,-4.017489780652468,False
119,-2.869902895447492,False
120,-4.1185205593584815,False
121,-3.922328086435159,False
122,-6.125766437708801,False
123,-5.10420557526466,False
124,-5.707964177571266,False
125,-4.561053163929594,False
126,-5.240111128445168,False
127,-3.021575176760901,False
128,-5.2608765445637165,False
129,-4.67321740689926,False
130,-2.915373576880226,False
131,-2.5017766092664155,False
132,-3.479042934407062,False
133,-3.416558024045643,False
134,-3.885565338740861,False
135,-3.832105063214846,False
136,-4.71967576939305,False
137,-4.499584424409515,False
138,-4.8425333078437,False
139,-5.718047823623285,False
140,-5.758309908201774,False
141,-4.549129299479082,False
142,-4.18212308374714,False
143,-2.398685013736347,False
144,-4.2445097591579195,False
145,-2.8469164969067817,False
146,-4.871796792779028,False
147,-6.3278178531062,False
148,-2.980755327085359,False
149,-4.763373926241653,False
150,-5.918833574951866,False
151,-6.097765757800781,False
152,-5.955287062969724,False
153,-5.921364466174027,False
154,-4.023167209875005,False
155,-4.1503787373550445,False
156,-3.3919836803637744,False
157,-3.7935689366758796,False
158,-3.603528095847957,False
159,-4.795025136969224,False
160,-2.4299449682526806,False
161,-4.642301215726565,False
162,-2.3464739503520318,False
163,-5.6328178120315755,False
164,-3.0113765088623903,False
165,-4.450142828390158,False
166,-7.409818908404367,False
167,-1.9959072130669422,False
168,-2.331637890811857,False
169,-5.168439508472618,False
170,-1.6882726281939995,False
171,-4.510730284047556,False
172,-3.8224857485267263,False
173,-3.8717452091960665,False
174,-5.12548913684034,False
175,-3.566584151922462,False
176,-5.336390111168791,False
177,-3.886126009934447,False
178,-5.310508870224787,False
179,-2.7250855462477337,True
180,-3.2013984381955707,False
181,-2.915827792700375,False
182,-5.91743039873546,False
183,-3.5583740897893748,False
184,-4.0965791149680575,False
185,-6.323473767367048,False
186,-3.7381941702564143,False
187,-5.379879720022241,False
188,-3.0103065237615008,False
189,-3.250501150597054,False
190,-4.930127560499514,False
191,-5.605642704113578,False
192,-5.6138843438683255,False
193,-3.366905308843088,False
194,-6.197301156554319,False
195,-3.704824701528933,False
196,-2.362463598998894,False
197,-3.2594419524689084,False
198,-5.639008536025729,False
199,-3.845900561387026,False
200,-3.051958905233261,False
201,-5.014102323261697,False
202,-4.599363108710946,False
203,-3.7335798139141496,False
204,-3.1048501377707387,False
205,-6.064735731575832,False
206,-6.123741541420353,False
207,-6.261133494127754,False
208,-6.402488941774139,False
209,-4.441091297202447,False
210,-6.013778844531085,False
211,-6.210767987272771,False
212,-6.14124641274231,False
213,-4.951339815182211,False
214,-4.54426246487362,False
215,-2.5300515923366946,False
216,-3.0809998134515375,False
217,-2.9017760374500243,False
218,-5.244717539983007,False
219,-4.991934366658916,False
220,-3.0931504481010164,False
221,-6.070751475936914,False
222,-7.90651956751069,False
223,-6.273617007269155,False
224,-5.899429842046927,False
225,-2.9428162908841413,False
226,-6.165024831627989,False
227,-3.0791966653784524,False
228,-5.500640464781979,False
229,-4.0211669103125915,False
230,-4.015722020320525,False
231,-4.450705061524351,False
232,-5.966814088326139,False
233,-5.542352060068324,False
234,-6.311351053961582,False
235,-4.325936201561362,False
236,-6.874062705559476,False
237,-4.897415710838338,False
238,-2.698017374226076,False
239,-5.664377719617303,False
240,-4.260316984165039,False
241,-5.079718934239479,False
242,-3.053431375898144,False
243,-4.485401891856994,False
244,-5.1899244054362725,False
245,-4.986366596278037,False
246,-4.286348342888152,False
247,-5.649100123869948,False
248,-5.636511392710364,False
249,-3.9227020780851607,False
250,-4.648833122481717,False
251,-4.789879254385586,False
252,-4.676500284780947,False
253,-4.7743837560397555,False
254,-3.1047715941297596,False
255,-4.472742932935983,False
256,-5.020029307755947,False
257,-5.531144657665873,False
258,-4.418127044858863,False
259,-5.8294544648892845,False
260,-2.9153244491416714,False
261,-3.6712963123930114,False
262,-5.415806528475306,False
263,-5.865346606356202,False
264,-4.1504538953227055,False
265,-3.876592406884737,False
266,-2.960692898952536,False
267,-4.337621504500099,False
268,-2.5433996712297438,False
269,-5.076611486194551,False
270,-5.028740537967408,False
271,-3.2438862388746754,False
272,-5.372665858028603,False
273,-3.4370028768865915,False
274,-3.6352163147294565,False
275,-3.7635343205677336,False
276,-4.8186141569265635,False
277,-2.700494276047438,False
278,-4.733757544205667,False
279,-4.2393390475337025,False
280,-3.719418081171677,False
281,-2.903088795642475,False
282,-5.048977101496675,False
283,-3.4865127057893286,False
284,-5.2394519077347095,False
285,-2.949410784835624,False
286,-5.41927896591777,False
287,-3.716395227351208,False
288,-4.749208816509372,False
289,-5.935352261494971,False
290,-2.792991422240701,False
291,-5.028740537967408,False
292,-3.3593002027057395,False
293,-5.7286292403385595,False
294,-4.237601779196768,False
295,-5.191767033262661,False
296,-6.174991723560555,False
297,-4.018189229038983,False
298,-4.433265895659539,False
299,-2.9119494076541974,False
300,-4.239845658092276,False
301,-6.023953772413032,False
302,-3.4862622792756826,False
303,-4.075725337254553,False
304,-5.430288008839138,False
305,-2.020974398796521,False
306,-5.986968415960645,False
307,-3.9537859239066444,False
308,-4.053383305729092,False
309,-4.390109513519523,False
310,-3.446986269210544,False
311,-4.264406109912324,False
312,-2.4606982385294396,False
313,-4.415999748673431,False
314,-3.0063173390609457,False
315,-2.915827792700375,False
316,-2.665682198552301,False
317,-4.0378176047031875,False
318,-1.8839267507950794,False
319,-4.973537864152351,False
320,-5.721690867166499,False
321,-5.647001417715207,False
322,-2.390631841044339,True
323,-5.620356041612631,False
324,-5.608762697527228,False
325,-5.993954342424066,False
326,-8.500321067037008,False
327,-5.6998510901826185,False
328,-3.755336573903327,False
329,-2.790899012141523,False
330,-5.0240909224902195,False
331,-5.862816590542723,False
332,-7.098790895397706,False
333,-3.1164297428961865,False
334,-2.7937805863964202,False
335,-5.337706581426317,False
336,-2.606399704220536,False
337,-4.610903628961559,False
338,-2.8968625122635907,False
339,-5.277680293882703,False
340,-5.0131523684489565,False
341,-3.9926416546445287,False
342,-3.705763323107097,False
343,-5.960023439976732,False
344,-4.3256252819025045,False
345,-4.817415518349014,False
346,-5.988198986721235,False
347,-2.6499295151891396,False
348,-4.002032585404068,False
349,-5.111283905029451,False
350,-4.491039684470442,False
351,-5.902372509712791,False
352,-5.9067837569086805,False
353,-2.4324838498857257,False
354,-2.8393662847228507,False
355,-3.670696924841784,False
356,-5.533181325211883,False
357,-3.3754298321743903,False
358,-3.904016693901041,False
359,-3.3495795462083224,False
360,-2.0572185966985903,False
